game_id,minute,home_team_possession,away_team_possession
1640884,20,52.1,47.9
1640884,30,52.1,47.9
1640884,40,54.1,45.9
1640884,45+1,56.1,43.9
1640884,50,57.2,42.8
1640884,60,58.9,41.1
1640884,70,59.5,40.5
1640884,80,59.4,40.6
1640884,90,58.9,41.1
1640884,90+3,58.5,41.5
1729470,10,44.1,55.9
1729470,20,47.1,52.9
1729470,30,43.6,56.4
1729470,40,37.9,62.1
1729470,45+4,32.1,67.9
1729470,50,32.3,67.7
1729470,60,30.0,70.0
1729470,70,29.5,70.5
1729470,80,33.6,66.4
1729470,90,34.8,65.2
1729470,90+8,35.9,64.1
1640995,10,20.7,79.3
1640995,20,19.0,81.0
1640995,30,18.6,81.4
1640995,40,19.6,80.4
1640995,45+4,18.8,81.2
1640995,50,18.9,81.1
1640995,60,18.9,81.1
1640995,70,18.7,81.3
1640995,80,19.1,80.9
1640995,90,18.6,81.4
1640995,90+8,18.3,81.7
1640715,10,39.4,60.6
1640715,20,32.9,67.1
1640715,30,39.0,61.0
1640715,40,39.4,60.6
1640715,45+3,39.3,60.7
1640715,50,40.5,59.5
1640715,60,38.7,61.3
1640715,70,37.6,62.4
1640715,80,36.3,63.7
1640715,90,34.9,65.1
1640715,90+6,34.1,65.9
1729514,10,40.7,59.3
1729514,20,42.0,58.0
1729514,30,49.2,50.8
1729514,40,49.7,50.3
1729514,45+5,52.5,47.5
1729514,45+8,53.4,46.6
1729514,50,54.1,45.9
1729514,60,57.7,42.3
1729514,70,56.3,43.7
1729514,80,59.7,40.3
1729514,90,60.1,39.9
1729514,90+6,60.5,39.5
1729231,10,9.2,90.8
1729231,20,12.9,87.1
1729231,30,17.3,82.7
1729231,40,16.0,84.0
1729231,45+4,16.3,83.7
1729231,50,16.4,83.6
1729231,60,17.4,82.6
1729231,70,17.7,82.3
